 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
  206000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.313E+03 0.144E+05
  207000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.338E+03 0.146E+05
  208000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.157E+03 0.142E+05
  209000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.278E+03 0.143E+05
  210000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.300E+03 0.149E+05
  211000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.171E+02 0.151E+05
  212000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.282E+03 0.148E+05
  213000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.481E+03 0.149E+05
  214000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.245E+03 0.144E+05
  215000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.292E+03 0.142E+05
  216000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.534E+03 0.143E+05
  217000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.531E+03 0.148E+05
  218000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.221E+03 0.143E+05
  219000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.269E+03 0.143E+05
  220000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.537E+03 0.145E+05
  221000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.553E+03 0.143E+05
  222000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.403E+03 0.137E+05
  223000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.218E+02 0.141E+05
  224000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.264E+03 0.142E+05
  225000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.101E+03 0.143E+05
  226000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.680E+03 0.136E+05
  227000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.405E+03 0.138E+05
  228000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.400E+03 0.136E+05
  229000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.456E+03 0.140E+05
  230000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.699E+02 0.144E+05
  231000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.125E+03 0.144E+05
  232000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.281E+03 0.146E+05
  233000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.209E+03 0.145E+05
  234000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.521E+03 0.143E+05
  235000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.149E+03 0.145E+05
  236000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.148E+03 0.140E+05
  237000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.570E+02 0.140E+05
  238000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.346E+03 0.138E+05
  239000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.714E+02 0.141E+05
  240000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.254E+03 0.140E+05
  241000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.504E+03 0.139E+05
  242000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.744E+03 0.137E+05
  243000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.101E+04 0.136E+05
  244000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.161E+03 0.142E+05
  245000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.100E+03 0.142E+05
  246000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.975E+02 0.140E+05
  247000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.360E+03 0.140E+05
  248000 0.997E+00 0.112E+06 0.112E+06 0.000E+00 -.541E+03 0.138E+05
  249000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.371E+03 0.138E+05
  250000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.299E+03 0.141E+05
  251000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.106E+03 0.138E+05
  252000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.265E+03 0.138E+05
  253000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.270E+03 0.142E+05
  254000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.925E+02 0.137E+05
  255000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.682E+02 0.140E+05
  256000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.136E+03 0.144E+05
  257000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.303E+03 0.144E+05
  258000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.137E+03 0.144E+05
  259000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.347E+03 0.143E+05
  260000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.184E+03 0.140E+05
  261000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.152E+03 0.144E+05
  262000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.251E+03 0.141E+05
  263000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.905E+02 0.141E+05
  264000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.221E+03 0.142E+05
  265000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.387E+03 0.144E+05
  266000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.252E+03 0.144E+05
  267000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.404E+03 0.139E+05
  268000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.554E+03 0.141E+05
  269000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.289E+02 0.139E+05
  270000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.210E+03 0.139E+05
  271000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.365E+03 0.142E+05
  272000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.468E+03 0.146E+05
  273000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.307E+02 0.142E+05
  274000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.318E+03 0.139E+05
  275000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.340E+03 0.139E+05
  276000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.770E+03 0.140E+05
  277000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.334E+02 0.141E+05
  278000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.674E+03 0.140E+05
  279000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.675E+03 0.143E+05
  280000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.947E+02 0.144E+05
  281000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.364E+03 0.145E+05
  282000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.122E+03 0.147E+05
  283000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.497E+03 0.146E+05
  284000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.318E+03 0.146E+05
  285000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.368E+03 0.147E+05
  286000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.141E+03 0.144E+05
  287000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.139E+03 0.142E+05
  288000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.221E+03 0.147E+05
  289000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.659E+03 0.147E+05
  290000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.101E+02 0.144E+05
  291000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.162E+03 0.147E+05
  292000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.401E+03 0.144E+05
  293000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.315E+03 0.140E+05
  294000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.142E+03 0.143E+05
  295000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.300E+03 0.145E+05
  296000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.590E+02 0.149E+05
  297000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.586E+03 0.139E+05
  298000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.692E+03 0.142E+05
  299000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.308E+03 0.143E+05
